AgencyCd,SiteNo,LithologyDescription
TWDB,644321,med size fairly loose sand w/coarse sand strips
TWDB,644321,med to coarse fairly loose sand w/gravel
TWDB,644321,med to coarse fairly loose sand w/gravel strips& brown sandy clay
TWDB,644321,brown sandy clay to med to coarse fairly loose sand
TWDB,644321,med to coarse loose sand to red& brown sticky clay
TWDB,646162,Top soil - sand stone white Rk
TWDB,646162,Sandy clay w/rock layers
TWDB,646162,Sandy clay w/med heavy sand
TWDB,646162,med heavy sand & gravel clay stks
TWDB,646162,cemented to loose sand& gravel
TWDB,646162,sand & gravel - cemented sks
TWDB,646162,sand & gravel
TWDB,646162,Red Bed
TWDB,644618,Surface & brown clay
TWDB,644618,Caliche
TWDB,644618,Sand w/gravel & clay strips
TWDB,644618,Fine to med to coarse sand
TWDB,644618,Med to fine sand
TWDB,644618,Sandy clay w/fine sand strips
TWDB,644618,Fine to med sand w/coarse sand strips
TWDB,644618,Fine sand w/clay mix& sandy clay strips
TWDB,644618,Red clay
TWDB,644853,top soil
TWDB,644853,clay
TWDB,644853,clay
TWDB,644853,sandstone
TWDB,644853,sandstone
TWDB,644853,cement gravel & med. sand
TWDB,644853,cement gravel & med. sand
TWDB,644853,coarse sand & gravel
TWDB,644853,coarse sand & gravel
TWDB,644853,coarse sand & gravel
TWDB,644853,red sand chunks& med. sand
TWDB,644853,red bed
TWDB,647409,Clay
TWDB,647409,Sandy clay
TWDB,647409,Clay
TWDB,647409,Gravel
TWDB,647409,Gravel and sand streaks
TWDB,647409,Gravel
TWDB,647409,Gravel and Sandy clay
TWDB,647409,Red bed
TWDB,1048302,Soil and Caliche
TWDB,1048302,Clay and Shale
TWDB,1048302,Cap Rock
TWDB,1048302,Tight Sand and Shale
TWDB,1048302,Fine Sand
TWDB,1048302,Tight Sand (Coarse)
TWDB,1048302,Coarse Water Sand
TWDB,1048302,River Sand and Gravel
TWDB,1048302,Red Bed
TWDB,1032803,Surface
TWDB,1032803,Caliche
TWDB,1032803,Dry Sand and clay
TWDB,1032803,Tight sand and clay
TWDB,1032803,"Sand, caly and rock ledges"
TWDB,1032803,Red Bed
TWDB,1037101,Top soil
TWDB,1037101,Cliche
TWDB,1037101,Clay
TWDB,1037101,Sand
TWDB,1037101,Shell
TWDB,1037101,Sand
TWDB,1037101,Shell
TWDB,1037101,Sand and gravel
TWDB,1037101,Red bed
TWDB,1037701,Surface soil to caliche& sandy clay
TWDB,1037701,Fine sandy clay to fine sand
TWDB,1037701,Fine sand w/ sand stone strips
TWDB,1037701,Fine sand w/sandstone& gravel strips to coarse sand
TWDB,1037701,Sand w/clay & gravel strips
TWDB,1037701,Sand w/ gravel strips to red clay
TWDB,1045202,TOP SOIL
TWDB,1045202,CALICHE AND CLAY
TWDB,1045202,"SANDSTONE, BROWN CLAY"
TWDB,1045202,"SANDY CLAY, SANDSTONE"
TWDB,1045202,"SANDSTONE, ROCK STREAKS"
TWDB,1045202,"SANDSTONE, ROCK STRKS, SANDY CLAY"
TWDB,1045202,"SANDSTONE, ROCK"
TWDB,1045202,"FINE SAND, SANDSTONE"
TWDB,1045202,"SANDY CLAY, SANDSTONE, FINE SAND"
TWDB,1045202,"SANDSTONE, CLAY"
TWDB,1045202,"SANDSTONE, FINE SAND"
TWDB,1045202,"SAND, GRAVEL"
TWDB,1045202,"SANDY CLAY, FINE SAND, GRAVEL STREAKS"
TWDB,1045202,"SANDSTONE, GRAVEL STREAKS"
TWDB,1045202,"CEMENTED GRAVEL, SANDSTONE STREAKS"
TWDB,1045202,"COARSE SAND, GRAVEL"
TWDB,1045202,CEMENTED GRAVEL
TWDB,1045202,"SAND, GRAVEL"
TWDB,1045202,"SANDSTONE, FINE SAND"
TWDB,1045202,"SANDY CLAY, SANDSTONE"
TWDB,1045202,"SANDY CLAY, FINE SAND"
TWDB,1045202,"COARSE SAND, BROWN CLAY STRK"
TWDB,1045202,"SAND, GRAVEL"
TWDB,1045202,"SANDY BROWN CLAY, GRAVEL STRK"
TWDB,1045202,"SAND, GRAVEL"
TWDB,1045202,"BROWN CLAY, LARGEGRAVEL"
TWDB,1045202,RED AND BLUE
TWDB,1046202,top soil
TWDB,1046202,caliche
TWDB,1046202,fine sand
TWDB,1046202,sandy clay
TWDB,1046202,sandy clay w/rock ledges
TWDB,1046202,tan sandy clay
TWDB,1046202,red clay & sand
TWDB,1046202,coarse sand & gravel
TWDB,1046202,red bed
TWDB,1046302,Top Soil
TWDB,1046302,Caliche and Clay
TWDB,1046302,Rock
TWDB,1046302,Sandy Clay
TWDB,1046302,Fine Sand Clay
TWDB,1046302,Med. Coarse Sand
TWDB,1046302,Clay and Sand Rock
TWDB,1046302,Coarse Sand Gravel
TWDB,1046302,Rock
TWDB,1046302,Blue Clay and Red Bed
TWDB,1032601,Top Soil
TWDB,1032601,Caliche
